PC,Explained Variance,Cumulative Variance
,0.0,0.0
PC1,0.474682922137967,0.475
PC2,0.34029010581336366,0.815
PC3,0.04811903720476982,0.863
PC4,0.040298413624842634,0.903
PC5,0.026896376130455635,0.93
PC6,0.015806777940082284,0.9460000000000001
