,Date,Open,High,Low,Close,Volume,MA5,MA20,MA60,AlexanderFilter,RS,RSI,Money Flow Index,%B,10 days Volatility,30 days Volatility,Chaikin Oscilator,MACD,Accumulation and Distribution Oscillator,%K,William %R
59,30/03/2020,5480,5555,5155,5495,159964500,5043.0,5594.75,6347.833333,-5.012964564,0.58129176,36.76056338,46.74106357,0.46199005299999996,408.81658480000004,726.0990903,-230580119.3,-647.0192308,-1673455400.0,57.77777778,0.42222222200000004
60,31/03/2020,5660,5710,5485,5525,182638500,5262.0,5556.5,6328.416667,-6.751054852,0.664179105,39.9103139,51.85351302,0.487626399,404.3726623,712.0301375,-181457025.8,-635.3525641,-1791155767.0,69.97084548,0.300291545
61,01/04/2020,5560,5750,5425,5480,152831500,5458.0,5516.0,6306.416667,-6.324786325,0.81402439,44.87394958,51.77972832,0.485338237,426.6816728999999,700.5047585,-138856518.7,-623.3012821000001,-1892259682.0,68.54599407,0.314540059
62,02/04/2020,5470,5470,5360,5410,136623500,5484.0,5482.5,6284.333333,-2.6978417269999997,0.698830409,41.13597246,46.68775355,0.469805765,438.4350009,685.9964569,-140724299.7,-589.4551282000001,-1904680000.0,65.55891239,0.34441087600000003
63,03/04/2020,5460,5530,5365,5495,110506000,5481.0,5441.25,6263.583333,7.32421875,0.782874618,43.91080617,50.51769815,0.5236228820000001,424.4808594,668.1450482999999,-114954769.6,-518.5897436,-1841055334.0,74.52229299,0.25477707
64,06/04/2020,5520,5740,5495,5735,78184000,5529.0,5406.0,6247.833333,14.7,1.1301115240000001,53.05410122,54.45812047,0.656342548,424.2452121,645.8290322,-45573504.92,-426.76282050000003,-1766062517.0,89.8089172,0.10191082800000001
65,07/04/2020,5735,6100,5580,5655,149153500,5555.0,5367.0,6229.75,21.61290323,1.5431472080000002,60.67864271,61.32585017,0.651652565,324.53081519999995,626.1301116000001,-16769171.96,-313.5897436,-1872190969.0,74.92957746,0.250704225
66,08/04/2020,5655,5660,5480,5635,106111500,5586.0,5338.75,6211.583333,19.00739176,1.717514124,63.2016632,62.68602454,0.668365313,122.6009788,603.1797456,-12028390.08,-213.3974359,-1795554886.0,73.80281690000001,0.261971831
67,09/04/2020,5600,5695,5500,5595,89997000,5623.0,5329.25,6192.416667,26.297968400000002,2.643478261,72.55369928,69.94242739,0.653742453,93.35550332,582.3302089,-9898691.473,-89.58333333,-1797862501.0,71.54929577,0.284507042
68,13/04/2020,5540,5615,5480,5500,58043000,5624.0,5308.0,6169.583333,22.22222222,2.141791045,68.17102138,64.11742306,0.616416758,93.86825875,559.0887675,6590142.347999999,16.05769231,-1838707575.0,64.60176991,0.353982301
69,14/04/2020,5505,5590,5445,5515,95796000,5580.0,5291.25,6147.583333,4.450757576,3.97260274,79.88980716,66.7254906,0.641095041,92.82914413,538.6943062,7960357.642999999,66.60256410000001,-1842010886.0,64.54545455,0.354545455
70,15/04/2020,5515,5630,5445,5485,95342000,5546.0,5287.5,6124.833333,-0.45372050799999997,3.4936708860000003,77.74647887,64.75561858,0.625240538,94.85383493,522.5328538,-14296631.57,101.25,-1896123913.0,57.5862069,0.424137931
71,16/04/2020,5485,5520,5185,5240,176990500,5467.0,5293.5,6097.583333,-4.640582348,0.9375,48.38709677,53.04245531,0.465928432,132.53395790000002,507.03114630000005,-60786304.8,125.9615385,-2014998129.0,8.994708995,0.91005291
72,17/04/2020,5300,5445,5280,5425,160935500,5433.0,5314.75,6074.083333,-1.809954751,0.8671875,46.44351464,49.92943307,0.571117208,131.28594750000002,496.41671560000003,-78968711.95,147.43589740000002,-1893077296.0,28.57142857,0.7142857140000001
73,20/04/2020,5430,5500,5330,5355,90744000,5404.0,5350.0,6049.5,-2.281021898,0.7985611509999999,44.4,57.21729659,0.503508275,141.1523999,472.7919733,-87697047.35,153.5576923,-1957131884.0,18.57923497,0.81420765
74,21/04/2020,5355,5355,5160,5160,73431000,5333.0,5371.25,6021.5,-4.621072089,0.58988764,37.1024735,49.64404388,0.340322556,155.77307209999998,439.5085955,-66435262.31,162.1474359,-2030562884.0,0.0,1.0
75,22/04/2020,5160,5235,5045,5145,107263500,5265.0,5407.0,5993.25,-6.369426752000001,0.610465116,37.90613718,51.409116999999995,0.245764753,165.6117448,399.6779606,-95109329.19,160.09615380000002,-2024917437.0,9.478672986,0.90521327
76,23/04/2020,5180,5245,5120,5120,105419500,5241.0,5438.0,5965.083333,-10.72362685,0.644171779,39.17910448,59.31207006,0.028262596,166.30995159999998,371.8527561,-119366141.7,125.7692308,-2130336937.0,7.1090047389999995,0.928909953
77,24/04/2020,5120,5140,4920,4920,131149500,5140.0,5420.0,5933.083333,-12.99734748,0.43349753700000004,30.24054983,51.58694415,-0.123094686,190.0795886,370.0585539,-149978265.7,72.21153846,-2261486437.0,0.0,1.0
78,27/04/2020,4940,5020,4855,4960,151103500,5061.0,5392.5,5902.583333,-11.97870453,0.236453202,19.12350598,44.54372161,0.014816117,198.28325700000002,357.359957,-176941035.6,17.5,-2220276391.0,8.43373494,0.915662651
79,28/04/2020,4960,4975,4805,4830,180488000,4995.0,5359.25,5870.0,-13.67292225,0.22535211300000002,18.3908046,34.35034169,-0.023611992000000002,206.9879224,350.23250210000003,-198821738.5,-53.17307692,-2347679685.0,2.808988764,0.971910112
80,29/04/2020,4825,4850,4800,4850,121161000,4936.0,5325.5,5838.5,-11.81818182,0.248803828,19.92337165,34.38149358,0.063911197,195.8755983,352.3882408,-154126344.1,-111.7628205,-2226518685.0,5.586592179,0.9441340779999999
81,30/04/2020,4880,5250,4880,5170,174081000,4946.0,5310.0,5816.666667,-6.255666364,0.577114428,36.59305994,37.21163272,0.37140910200000005,191.9772122,352.0049321,-112001083.0,-168.97435900000002,-2127715956.0,44.57831325,0.5542168679999999
82,04/05/2020,5150,5300,5000,5220,114497500,5006.0,5300.5,5796.333333,-4.83135825,0.692307692,40.90909091,42.56593741,0.42596761299999997,164.4566812,349.48553460000005,-2748468.1739999996,-218.75,-2074283789.0,50.60240964,0.49397590399999997
83,05/05/2020,5220,5340,5200,5285,118643500,5071.0,5290.0,5774.416667,0.858778626,0.747252747,42.7672956,48.86678263,0.49533853,153.4242484,332.2698034,65643862.78,-215.19230770000001,-2048860182.0,58.43373494,0.415662651
84,06/05/2020,5315,5370,5300,5355,86395500,5176.0,5271.0,5751.5,-1.2903225809999999,0.852272727,46.01226994,48.5070679,0.5844358000000001,175.0064285,318.24885439999997,105278250.5,-215.0641026,-1999491325.0,77.08333333,0.229166667
85,08/05/2020,5345,5400,5150,5245,123028000,5255.0,5250.5,5726.583333,-2.054154995,1.006711409,50.16722408,50.1007064,0.49408826299999997,180.8791033,276.9821996,120776892.7,-214.6153846,-2029018045.0,63.57142857,0.364285714
86,11/05/2020,5245,5325,5245,5295,40615500,5280.0,5233.5,5702.166667,2.61627907,0.8255033559999999,45.22058824,46.16711224,0.5712881670000001,190.6069254,233.487806,119628286.7,-194.51923080000003,-2018864170.0,70.71428571,0.292857143
87,12/05/2020,5340,5340,5030,5220,118660000,5280.0,5214.75,5676.083333,1.4577259480000002,0.82,45.05494505,39.63485567,0.5065923410000001,181.2484483,234.1606761,95160423.53,-178.26923080000003,-1992069976.0,70.0,0.3
88,13/05/2020,5160,5170,5085,5110,94973000,5245.0,5195.25,5648.25,-0.1953125,0.92481203,48.046875,39.15551287,0.38726335700000003,171.4234523,234.7861912,75530948.0,-167.56410259999998,-2031176505.0,51.66666667,0.483333333
89,14/05/2020,5070,5110,4905,4920,131268000,5158.0,5165.5,5616.916667,0.0,0.732142857,42.26804124,38.69104748,0.16482135,155.59884319999998,242.59528480000003,13629640.02,-145.4487179,-2143234554.0,20.0,0.8
90,15/05/2020,4920,4995,4680,4785,205790000,5066.0,5130.5,5583.5,-3.528225806,0.647368421,39.297124600000004,30.75987387,0.034566043,169.44689430000003,255.2624466,-61092854.71,-123.49358970000002,-2211831221.0,14.58333333,0.854166667
91,18/05/2020,4800,4845,4750,4765,139997500,4960.0,5106.75,5551.583333,-1.3457556940000002,0.7987012990000001,44.40433213,30.70810652,0.072575681,206.6518812,267.6668742,-135250044.7,-94.67948718,-2307618984.0,11.80555556,0.881944444
92,19/05/2020,4840,4960,4680,4680,128504500,4852.0,5069.5,5517.583333,-3.5051546389999997,0.67251462,40.20979021,31.16842972,0.028270563,241.1410376,284.37279910000007,-196695718.5,-72.11538462,-2436123484.0,0.0,1.0
93,20/05/2020,4720,4800,4690,4765,119158000,4783.0,5040.0,5485.416667,-7.833655706,0.9103448279999999,47.6534296,32.30019234,0.165726061,244.35425099999998,291.15173589999995,-222623100.2,-73.94230769,-2392793302.0,11.80555556,0.881944444
94,26/05/2020,4775,5000,4775,4970,176076500,4793.0,5030.5,5456.666667,-4.789272031,1.1655172409999999,53.82165605,41.014748700000005,0.42596339899999996,216.3151636,276.1151632,-181555696.3,-74.39102564,-2263670536.0,40.27777778,0.5972222220000001
