Date,Open,High,Low,Close,Volume
2020-09-16,5860,5870,5745,5750,158565500
2020-09-17,5750,5855,5665,5755,138796000
2020-09-18,5700,5735,5570,5630,316912000
2020-09-21,5640,5735,5595,5605,112443000
2020-09-22,5520,5565,5430,5450,163442500
2020-09-23,5450,5585,5425,5505,100517000
2020-09-24,5430,5535,5390,5445,88618500
2020-09-25,5480,5625,5460,5610,100705000
2020-09-28,5650,5695,5500,5515,93522000
2020-09-29,5575,5635,5460,5505,117778500
2020-09-30,5565,5565,5420,5420,107377000
2020-10-01,5485,5570,5480,5570,56893000
2020-10-02,5560,5565,5440,5505,66848000
2020-10-05,5515,5560,5460,5520,58291000
2020-10-06,5630,5715,5600,5700,141955500
2020-10-07,5600,5755,5580,5755,89937500
2020-10-08,5790,5800,5710,5780,77384500
2020-10-09,5750,5775,5720,5775,54250500
2020-10-12,5840,5875,5830,5855,82918500
2020-10-13,5840,5860,5770,5855,48250500
2020-10-14,5840,5900,5810,5900,83117500
2020-10-15,5875,5880,5760,5785,82067000
2020-10-16,5785,5790,5730,5760,89051500
2020-10-19,5750,5900,5710,5900,56871500
2020-10-20,5880,5880,5785,5805,74995500
2020-10-21,5860,5865,5730,5780,77944000
2020-10-22,5740,5800,5705,5800,96872500
2020-10-23,5840,5840,5750,5770,66328000
2020-10-26,5725,5835,5725,5815,70452500
2020-10-27,5815,5830,5755,5790,89482000
2020-11-02,5760,5825,5720,5820,151006500
2020-11-03,5840,5895,5835,5890,78152000
2020-11-04,5900,5940,5785,5820,78626000
2020-11-05,5900,6180,5900,6150,161090000
2020-11-06,6160,6300,6060,6300,137303500
2020-11-09,6300,6400,6215,6285,82739500
2020-11-10,6395,6600,6380,6480,191073500
2020-11-11,6540,6565,6480,6540,131383500
2020-11-12,6410,6495,6405,6420,83082500
2020-11-13,6420,6450,6320,6390,82374500
2020-11-16,6485,6485,6385,6480,54905000
2020-11-17,6500,6565,6490,6550,119784000
2020-11-18,6550,6575,6540,6570,99789000
2020-11-19,6520,6640,6515,6615,147346500
2020-11-20,6640,6650,6550,6600,68468500
2020-11-23,6600,6610,6550,6600,75265500
2020-11-24,6600,6600,6545,6565,72349500
2020-11-25,6580,6585,6380,6410,170140500
2020-11-26,6350,6490,6300,6480,64339000
2020-11-27,6480,6490,6380,6385,87361500
2020-11-30,6385,6400,6135,6205,393091500
2020-12-01,6220,6435,6220,6395,114563500
2020-12-02,6460,6485,6340,6450,93897500
2020-12-03,6500,6525,6425,6460,98210000
2020-12-04,6460,6465,6360,6390,64995500
2020-12-07,6500,6580,6480,6520,96636000
2020-12-08,6520,6520,6425,6490,70561500
2020-12-10,6590,6600,6540,6575,151420500
2020-12-11,6600,6780,6595,6735,214160000
2020-12-14,6800,6830,6795,6820,179785500
2020-12-15,6830,6900,6605,6790,164024500
2020-12-16,6860,6950,6840,6950,138674000
2020-12-17,6965,7000,6820,6935,91920000
2020-12-18,6935,6935,6755,6800,147238500
2020-12-21,6890,6890,6800,6830,93692500
2020-12-22,6740,6820,6710,6715,61790500
2020-12-23,6905,6905,6620,6725,76948000
2020-12-28,6790,6820,6660,6780,60234000
2020-12-29,6775,6810,6740,6765,34212500
2020-12-30,6800,6800,6700,6770,52675500
2021-01-04,6800,6855,6720,6835,47937000
2021-01-05,6860,7090,6850,7090,104831000
2021-01-06,7050,7075,6880,6945,89753500
2021-01-07,7000,7050,6910,6965,71360000
2021-01-08,7035,7080,6975,7050,75033500
2021-01-11,7150,7360,7145,7345,169034500
2021-01-12,7345,7380,7160,7160,95235000
2021-01-13,7245,7275,7070,7120,76581500
2021-01-14,7050,7090,6995,7020,89319500
2021-01-15,7095,7100,6840,6955,89853500
2021-01-18,6955,7125,6845,7120,86343000
2021-01-19,7120,7120,7005,7095,73777000
2021-01-20,7165,7295,7070,7095,107216000
2021-01-21,7280,7300,7060,7075,66428000
2021-01-22,7075,7160,7075,7080,80829000
2021-01-25,7200,7200,7000,7035,76836500
2021-01-26,6955,7000,6820,6820,98658000
2021-01-27,6820,6930,6705,6790,97920000
2021-01-28,6790,6925,6790,6900,104627000
2021-01-29,6900,7000,6760,6760,132762500
2021-02-01,6760,6920,6595,6820,113129000
2021-02-02,6965,6980,6800,6800,86741000
2021-02-03,7000,7000,6825,6825,67291000
2021-02-04,6920,7000,6835,6855,80950500
2021-02-05,6870,6950,6855,6915,51602000
2021-02-08,7050,7055,6880,6920,45604000
2021-02-09,7000,7030,6955,6980,75574000
2021-02-10,7050,7050,6900,6920,44984500
2021-02-11,6985,6985,6840,6880,36926000
2021-02-15,6830,6890,6720,6800,83922000
2021-02-16,6880,6945,6830,6940,47221000
2021-02-17,6890,6960,6850,6900,66011500
2021-02-18,6850,6900,6735,6735,91204000
2021-02-19,6780,6850,6760,6825,70487500
2021-02-22,6900,6940,6790,6790,68913000
2021-02-23,6820,6845,6775,6825,58360000
2021-02-24,6825,6835,6725,6725,71869000
