Date,Open,High,Low,Close,Volume,MA5,MA20,MA60,AlexanderFilter,RS,RSI,Money Flow Index,%B,10 days Volatility,30 days Volatility,Chaikin Oscilator,MACD,Accumulation and Distribution Oscillator,%K,William %R
25/02/2020,6550,6560,6510,6530,86446500,6592,6674.25,,-3.402366864,0.411764706,29.16666667,45.68834079,0.169425154,91.71831878,117.4431304,-135588587,-24.87179487,-704482795.5,6.451612903,0.935483871
26/02/2020,6500,6535,6420,6420,92824500,6537,6656,,-5.379513633,0.288888889,22.4137931,34.87621577,0.004647476,105.4051707,127.9562642,-150013698.3,-39.51923077,-797307295.5,0,1
27/02/2020,6470,6475,6200,6290,129254500,6476,6633.5,,-7.227138643,0.189655172,15.94202899,26.80124521,-0.106844998,131.3782707,146.2673541,-154745191.8,-59.19871795,-841958850,14.51612903,0.85483871
28/02/2020,6200,6290,6035,6290,169946500,6411,6624,,-7.5,0.146551724,12.78195489,24.91884864,-0.031766239,151.2489669,159.3985222,-127537014.4,-80.54487179,-672012350,32.48407643,0.675159236
02/03/2020,6290,6290,6035,6080,144871500,6322,6606,,-10.45655376,0.108280255,9.770114943,18.07586509,-0.179638751,190.7360742,189.0914682,-89612678.68,-111.6346154,-765752732.4,5.732484076,0.942675159
03/03/2020,6200,6350,6200,6320,114663500,6280,6592,,-5.389221557,0.388535032,27.98165138,20.25977961,0.165509266,180.0666543,195.0220073,-20751601.42,-121.6346154,-696954632.4,36.30573248,0.636942675
04/03/2020,6315,6500,6260,6440,83025000,6284,6577.5,,-4.166666667,0.548387097,35.41666667,25.47473461,0.330895182,158.3264034,194.1197368,-1601307.484,-131.5064103,-655442132.4,53.28947368,0.467105263
05/03/2020,6540,6540,6340,6435,77583000,6313,6562.25,,-3.883495146,0.634328358,38.81278539,32.44683787,0.342473162,146.5170639,192.4375801,40528557.1,-139.7115385,-659321282.4,55.17241379,0.448275862
06/03/2020,6350,6350,6200,6200,77835500,6295,6534.25,,-7.393577296,0.425414365,29.84496124,30.77369094,0.104345321,136.6235704,201.8742733,37784835.79,-160.1923077,-737156782.4,22.75862069,0.772413793
09/03/2020,6000,6040,5785,5785,140889500,6236,6484.25,,-12.28203184,0.297297297,22.91666667,30.23529836,-0.175204996,206.1407286,242.4379073,-17331268.85,-200.9615385,-878046282.4,0,1
10/03/2020,5840,6010,5840,5925,133667000,6157,6441.5,,-10.430839,0.405405405,28.84615385,32.29220032,0.033049141,212.2857744,262.8933032,-72883253.49,-238.6538462,-878046282.4,15.38461538,0.846153846
11/03/2020,5950,5980,5790,5850,93204500,6039,6394,,-10.34482759,0.413385827,29.24791086,33.5026796,0.034287539,226.572836,284.4459039,-119784838.1,-266.0576923,-912384782.4,7.428571429,0.925714286
12/03/2020,5600,5640,5460,5560,129845500,5864,6332.5,,-14.85451761,0.323717949,24.45520581,26.4828974,-0.086484121,283.7873323,325.8846507,-120822046.8,-301.8910256,-897957504.6,8.771929825,0.912280702
17/03/2020,5495,5505,5120,5120,212200000,5648,6254.5,,-20.24922118,0.264397906,20.91097308,25.02916266,-0.188256641,395.7085417,404.0361989,-154377938.7,-347.9166667,-1110157505,0,1
18/03/2020,5120,5380,4765,5000,180053500,5491,6168.5,,-20.50874404,0.246305419,19.76284585,24.20938948,-0.108755274,487.9807886,476.2827417,-195767084.5,-387.724359,-1152609143,13.23943662,0.867605634
19/03/2020,4995,4995,4650,4650,264419000,5236,6066.25,,-26.07313196,0.220264317,18.05054152,22.77780964,-0.124676538,580.2200014,563.892942,-296783279.5,-442.275641,-1417028143,0,1
20/03/2020,4600,5385,4325,4735,335132000,5013,5968.25,,-22.12171053,0.273364486,21.46788991,34.74725541,0.00017697,587.1575598,623.0296943,-340619978,-475.7051282,-1492907086,18.51015801,0.81489842
23/03/2020,4760,5000,4405,4430,217843500,4787,5860,,-29.90506329,0.239263804,19.30693069,34.89275719,-0.022889144,584.8480572,693.6173297,-417252754.2,-542.0512821,-1692444410,4.740406321,0.952595937
24/03/2020,4450,4995,4450,4500,253971000,4663,5754.25,,-30.1242236,0.293064877,22.66435986,43.72945054,0.065268692,552.102572,744.1616461,-461915937.6,-615.6410256,-1899815226,7.900677201,0.920993228
26/03/2020,4650,5395,4650,5280,331633000,4719,5692,,-17.94871795,0.534675615,34.83965015,47.88284523,0.354030754,513.9941634,745.3124065,-441883503.1,-658.0448718,-1670565569,43.11512415,0.568848759
27/03/2020,5360,5895,5355,5510,269683000,4891,5641,,-11.12903226,0.583892617,36.86440678,51.47351633,0.451809776,460.0328793,737.2219061,-382140456.5,-669.0064103,-1785430550,53.49887133,0.465011287
30/03/2020,5480,5555,5155,5495,159964500,5043,5594.75,6347.833333,-5.012964564,0.58129176,36.76056338,46.74106357,0.461990053,408.8165848,726.0990903,-230580119.3,-647.0192308,-1673455400,57.77777778,0.422222222
31/03/2020,5660,5710,5485,5525,182638500,5262,5556.5,6328.416667,-6.751054852,0.664179105,39.9103139,51.85351302,0.487626399,404.3726623,712.0301375,-181457025.8,-635.3525641,-1791155767,69.97084548,0.300291545
01/04/2020,5560,5750,5425,5480,152831500,5458,5516,6306.416667,-6.324786325,0.81402439,44.87394958,51.77972832,0.485338237,426.6816729,700.5047585,-138856518.7,-623.3012821,-1892259682,68.54599407,0.314540059
02/04/2020,5470,5470,5360,5410,136623500,5484,5482.5,6284.333333,-2.697841727,0.698830409,41.13597246,46.68775355,0.469805765,438.4350009,685.9964569,-140724299.7,-589.4551282,-1904680000,65.55891239,0.344410876
03/04/2020,5460,5530,5365,5495,110506000,5481,5441.25,6263.583333,7.32421875,0.782874618,43.91080617,50.51769815,0.523622882,424.4808594,668.1450483,-114954769.6,-518.5897436,-1841055334,74.52229299,0.25477707
06/04/2020,5520,5740,5495,5735,78184000,5529,5406,6247.833333,14.7,1.130111524,53.05410122,54.45812047,0.656342548,424.2452121,645.8290322,-45573504.92,-426.7628205,-1766062517,89.8089172,0.101910828
07/04/2020,5735,6100,5580,5655,149153500,5555,5367,6229.75,21.61290323,1.543147208,60.67864271,61.32585017,0.651652565,324.5308152,626.1301116,-16769171.96,-313.5897436,-1872190969,74.92957746,0.250704225
08/04/2020,5655,5660,5480,5635,106111500,5586,5338.75,6211.583333,19.00739176,1.717514124,63.2016632,62.68602454,0.668365313,122.6009788,603.1797456,-12028390.08,-213.3974359,-1795554886,73.8028169,0.261971831
09/04/2020,5600,5695,5500,5595,89997000,5623,5329.25,6192.416667,26.2979684,2.643478261,72.55369928,69.94242739,0.653742453,93.35550332,582.3302089,-9898691.473,-89.58333333,-1797862501,71.54929577,0.284507042
13/04/2020,5540,5615,5480,5500,58043000,5624,5308,6169.583333,22.22222222,2.141791045,68.17102138,64.11742306,0.616416758,93.86825875,559.0887675,6590142.348,16.05769231,-1838707575,64.60176991,0.353982301
14/04/2020,5505,5590,5445,5515,95796000,5580,5291.25,6147.583333,4.450757576,3.97260274,79.88980716,66.7254906,0.641095041,92.82914413,538.6943062,7960357.643,66.6025641,-1842010886,64.54545455,0.354545455
15/04/2020,5515,5630,5445,5485,95342000,5546,5287.5,6124.833333,-0.453720508,3.493670886,77.74647887,64.75561858,0.625240538,94.85383493,522.5328538,-14296631.57,101.25,-1896123913,57.5862069,0.424137931
16/04/2020,5485,5520,5185,5240,176990500,5467,5293.5,6097.583333,-4.640582348,0.9375,48.38709677,53.04245531,0.465928432,132.5339579,507.0311463,-60786304.8,125.9615385,-2014998129,8.994708995,0.91005291
17/04/2020,5300,5445,5280,5425,160935500,5433,5314.75,6074.083333,-1.809954751,0.8671875,46.44351464,49.92943307,0.571117208,131.2859475,496.4167156,-78968711.95,147.4358974,-1893077296,28.57142857,0.714285714
20/04/2020,5430,5500,5330,5355,90744000,5404,5350,6049.5,-2.281021898,0.798561151,44.4,57.21729659,0.503508275,141.1523999,472.7919733,-87697047.35,153.5576923,-1957131884,18.57923497,0.81420765
21/04/2020,5355,5355,5160,5160,73431000,5333,5371.25,6021.5,-4.621072089,0.58988764,37.1024735,49.64404388,0.340322556,155.7730721,439.5085955,-66435262.31,162.1474359,-2030562884,0,1
