&y&y(t)&&&&
1&5525&5495.001788&&&&
2&5480&5525.001788&&&&
3&5410&5480.001788&&&&
4&5495&5410.001788&&&&
5&5735&5495.001788&&&&
6&5655&5735.001788&&&&
7&5635&5655.001788&&&&
8&5595&5635.001788&&&&
9&5500&5595.001788&&&&
10&5515&5500.001788&&&&
11&5485&5515.001788&&&&
12&5240&5485.001788&&&&
13&5425&5240.001788&&&&
14&5355&5425.001788&&&&
15&5160&5355.001788&&&&
16&5145&5160.001788&&&&
17&5120&5145.001788&&&&
18&4920&5120.001788&&&&
19&4960&4920.001788&&&&
20&4830&4960.001788&&&&
21&4850&4830.001788&&&&
22&5170&4850.001788&&&&
23&5220&5170.001788&&&&
24&5285&5220.001788&&&&
25&5355&5285.001788&&&&
26&5245&5355.001788&&&&
27&5295&5245.001788&&&&
28&5220&5295.001788&&&&
29&5110&5220.002381&&&&
30&4920&5110.001852&&&&
31&4785&4920.001788&&&&
32&4765&4785.001788&&&&
33&4680&4765.001788&&&&
34&4765&4680.001788&&&&
35&4970&4765.002381&&&&
36&4965&4970.001788&&&&
37&5295&4965.001788&&&&
38&5190&5295.001788&&&&
39&5360&5190.001788&&&&
40&5780&5360.001788&&&&
41&5790&5780.001788&&&&
42&5725&5790.001788&&&&
43&5900&5725.001788&&93&6330&6360.001791\\
44&5805&5900.001788&&94&6315&6330.001791\\
45&5800&5805.001788&&95&6365&6315.001791\\
46&5680&5800.001788&&96&6340&6365.001788\\
47&5670&5680.001788&&97&6600&6340.001788\\
48&5500&5670.001788&&98&6495&6600.001788\\
49&5760&5500.001788&&99&6275&6495.001791\\
50&5720&5760.001788&&100&6520&6275.001788\\
51&5585&5720.001788&&101&6435&6520.001791\\
52&5575&5585.001788&&102&6500&6435.001788\\
53&5540&5575.002381&&103&6380&6500.002379\\
54&5620&5540.001788&&104&6285&6380.002381\\
55&5705&5620.002381&&105&6335&6285.001788\\
56&5725&5705.001788&&106&6245&6335.001788\\
57&5645&5725.001788&&107&5810&6245.002379\\
58&5675&5645.001788&&108&5905&5810.002379\\
59&5695&5675.001788&&109&6050&5905.002381\\
60&5800&5695.001788&&110&5860&6050.002381\\
61&5870&5800.001788&&111&5750&5860.002379\\
62&5870&5870.001788&&112&5755&5750.001788\\
63&5935&5870.001791&&113&5630&5755.001788\\
64&5990&5935.001791&&114&5605&5630.002379\\
65&6200&5990.001791&&115&5450&5605.001788\\
66&6100&6200.001791&&116&5505&5450.002381\\
67&6200&6100.001791&&117&5445&5505.002379\\
68&6175&6200.001791&&118&5610&5445.001788\\
69&6200&6175.001788&&119&5515&5610.001788\\
70&6150&6200.001788&&120&5505&5515.001788\\
71&6180&6150.001791&&121&5420&5505.002379\\
72&6120&6180.001788&&122&5570&5420.001788\\
73&6140&6120.001788&&123&5505&5570.002381\\
74&6200&6140.001788&&124&5520&5505.002379\\
75&6180&6200.001788&&125&5700&5520.001788\\
76&6200&6180.001788&&126&5755&5700.002381\\
77&6100&6200.001788&&127&5780&5755.001788\\
78&6100&6100.001788&&128&5775&5780.001788\\
79&6185&6100.002381&&129&5855&5775.001788\\
80&6135&6185.001791&&130&5855&5855.002381\\
81&6240&6135.001788&&131&5900&5855.002381\\
82&6130&6240.001788&&132&5785&5900.001788\\
83&6210&6130.001788&&133&5760&5785.002379\\
84&6205&6210.001791&&134&5900&5760.002379\\
85&6260&6205.001788&&135&5805&5900.002381\\
86&6180&6260.001791&&136&5780&5805.001788\\
87&6120&6180.001788&&137&5800&5780.001788\\
88&6175&6120.001788&&138&5770&5800.001788\\
89&6260&6175.001788&&139&5815&5770.002381\\
90&6300&6260.001791&&140&5790&5815.002381\\
91&6405&6300.001791&&141&5820&5790.002379\\
92&6360&6405.001791&&142&5890&5820.001788\\
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
143&5820&5890.002379&&193&7095&7095.001788\\
144&6150&5820.001788&&194&7075&7095.001788\\
145&6300&6150.001788&&195&7080&7075.002381\\
146&6285&6300.001788&&196&7035&7080.001788\\
147&6480&6285.001788&&197&6820&7035.002379\\
148&6540&6480.002379&&198&6790&6820.002381\\
149&6420&6540.001788&&199&6900&6790.001791\\
150&6390&6420.001803&&200&6760&6900.002381\\
151&6480&6390.002379&&201&6820&6760.001791\\
152&6550&6480.002379&&202&6800&6820.002381\\
153&6570&6550.001788&&203&6825&6800.002381\\
154&6615&6570.001803&&204&6855&6825.002381\\
155&6600&6615.001803&&205&6915&6855.002379\\
156&6600&6600.001788&&206&6920&6915.001791\\
157&6565&6600.001788&&207&6980&6920.002381\\
158&6410&6565.001788&&208&6920&6980.002381\\
159&6480&6410.001788&&209&6880&6920.002381\\
160&6385&6480.001803&&210&6800&6880.002381\\
161&6205&6385.002379&&211&6940&6800.002381\\
162&6395&6205.002379&&212&6900&6940.002381\\
163&6450&6395.001788&&213&6735&6900.002381\\
164&6460&6450.001788&&214&6825&6735.001791\\
165&6390&6460.002379&&215&6790&6825.002381\\
166&6520&6390.002379&&216&6825&6790.001791\\
167&6490&6520.001788&&217&6725&6825.002381\\
168&6575&6490.001788&&218&6705&6725.002381\\
169&6735&6575.001788&&219&6710&6705.002381\\
170&6820&6735.001788&&220&7045&6710.001791\\
171&6790&6820.002381&&221&7015&7045.001791\\
172&6950&6790.001788&&222&7000&7015.002379\\
173&6935&6950.002381&&223&6720&7000.002381\\
174&6800&6935.002381&&224&6800&6720.002381\\
175&6830&6800.001788&&225&6720&6800.002381\\
176&6715&6830.002381&&226&6605&6720.002381\\
177&6725&6715.001788&&227&6705&6605.002381\\
178&6780&6725.002381&&228&6765&6705.002381\\
179&6765&6780.002379&&229&6665&6765.002381\\
180&6770&6765.002381&&230&6625&6665.002381\\
181&6835&6770.002381&&231&6610&6625.001791\\
182&7090&6835.001788&&232&6705&6610.002381\\
183&6945&7090.001788&&233&6760&6705.002381\\
184&6965&6945.002381&&234&6620&6760.001791\\
185&7050&6965.001788&&235&6565&6620.001791\\
186&7345&7050.002379&&236&6440&6565.001803\\
187&7160&7344.998203&&237&6370&6440.001803\\
188&7120&7160.001788&&238&6415&6370.001791\\
189&7020&7120.001788&&239&6360&6415.001803\\
190&6955&7020.002379&&240&6395&6360.001803\\
191&7120&6955.002381&&241&6215&6395.002381\\
192&7095&7120.001788&&242&6225&6215.002381\\
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
&&&&&&
243&6155&6225.001803&&293&6250&6325.001791\\
244&6165&6155.001791&&294&6340&6250.002381\\
245&6250&6165.002381&&295&6230&6340.002379\\
246&6135&6250.001803&&296&6210&6230.001791\\
247&6200&6135.001803&&297&6190&6210.001791\\
248&6065&6200.001803&&298&6055&6190.001791\\
