&y&PC1&PC2&PC3&PC4&PC5&PC6
1&0.176407&-1.014604&0.051428&0.088884&1.165674&-0.126950&0.325077
2&0.182900&-0.930226&-0.116510&0.139472&1.132026&-0.157186&0.306856
3&0.173160&-0.933013&-0.132750&0.105914&1.117333&-0.217310&0.248848
4&0.158009&-0.980185&-0.089106&0.104901&1.120769&-0.217268&0.210507
5&0.176407&-0.950611&-0.282073&0.069428&1.061644&-0.224226&0.189593
6&0.228355&-0.871244&-0.584348&0.038045&1.003636&-0.236146&0.134493
7&0.211039&-0.820724&-0.505668&-0.149395&0.735815&-0.293901&0.146790
8&0.206710&-0.848862&-0.497295&-0.129731&0.332201&-0.089078&0.343635
9&0.198052&-0.827659&-0.574406&-0.277835&0.191789&-0.146521&0.350087
10&0.177489&-0.859515&-0.451099&-0.290351&0.132252&-0.111098&0.321068
11&0.180736&-0.869503&-0.436905&-0.309522&0.085447&-0.085175&0.339369
12&0.174242&-0.887700&-0.315611&-0.314631&0.060994&-0.081009&0.340490
13&0.121212&-1.033879&0.436519&-0.432896&0.118556&-0.095563&0.221329
14&0.161255&-1.017939&0.202423&-0.305255&0.156824&-0.015339&0.247205
15&0.146104&-1.011089&0.316972&-0.380325&0.105741&-0.066519&0.242294
16&0.103896&-1.089822&0.608686&-0.416399&0.083599&-0.066626&0.154814
17&0.100649&-1.119392&0.524290&-0.345487&0.108697&-0.050663&0.142897
18&0.095238&-1.122308&0.591177&-0.351798&0.079716&-0.091555&0.159683
19&0.051948&-1.207097&0.775595&-0.284423&0.153546&-0.102817&0.137947
20&0.060606&-1.250744&0.725949&-0.128690&0.237916&-0.034561&0.127877
21&0.032468&-1.301329&0.850501&-0.059424&0.275079&-0.054968&0.101715
22&0.036797&-1.319009&0.779992&-0.046583&0.263463&-0.003707&0.088282
23&0.106061&-1.205678&0.188313&0.111149&0.322054&0.008228&0.083072
24&0.116883&-1.141747&0.052604&0.106857&0.245750&0.036130&0.049033
25&0.130952&-1.086947&-0.114556&0.091019&0.202759&0.023386&-0.005293
26&0.146104&-1.033104&-0.351887&0.193796&0.242270&0.060540&-0.029912
27&0.122294&-1.051988&-0.204794&0.094047&0.196971&0.009904&-0.115493
28&0.133117&-1.049135&-0.289966&0.176195&0.182191&0.036257&-0.146669
29&0.116883&-1.071139&-0.241956&0.197963&0.201486&0.068970&-0.149979
30&0.093074&-1.129126&-0.016838&0.082154&0.137696&0.037724&-0.140683
31&0.051948&-1.227585&0.410804&-0.086574&0.078503&-0.024755&-0.125442
32&0.022727&-1.314173&0.556651&-0.062323&0.143710&-0.025494&-0.098589
33&0.018398&-1.356060&0.561282&-0.106094&0.176105&-0.112971&-0.052587
34&0.000000&-1.399770&0.734311&-0.162931&0.220143&-0.185673&-0.027346
35&0.018398&-1.413350&0.567782&-0.107524&0.242269&-0.160349&0.025573
36&0.062771&-1.324548&0.130922&-0.011418&0.230465&-0.109552&0.031468
37&0.061688&-1.299486&0.170197&0.025311&0.191535&-0.013819&-0.033492
38&0.133117&-1.157254&-0.516695&0.197580&0.248986&0.060340&-0.119042
39&0.110390&-1.158784&-0.317596&0.131200&0.212458&-0.109544&-0.173571
40&0.147186&-1.108365&-0.504035&0.191149&0.212356&-0.131161&-0.103104
41&0.238095&-0.984797&-0.871492&0.080004&0.447087&-0.239016&-0.181070
42&0.240260&-0.917388&-0.726072&-0.098196&0.471619&-0.325152&-0.285169
43&0.226190&-0.919783&-0.694228&-0.182998&0.417915&-0.330422&-0.300660
44&0.264069&-0.849879&-0.933829&-0.229383&0.442375&-0.340992&-0.282930
45&0.243506&-0.824705&-0.848417&-0.310273&0.312582&-0.362854&-0.183416
46&0.242424&-0.849874&-0.886313&-0.385403&0.243870&-0.345017&-0.145680
47&0.216450&-0.872892&-0.724071&-0.400694&0.101288&-0.272091&-0.029397
48&0.214286&-0.891070&-0.714555&-0.429763&0.047476&-0.207160&-0.017529
49&0.177489&-0.925313&-0.457452&-0.454788&-0.073708&-0.177657&0.061113
50&0.233766&-0.885411&-0.689140&-0.310616&-0.119576&-0.075946&0.172381
51&0.225108&-0.867378&-0.595486&-0.353922&-0.142218&-0.100408&0.185801
52&0.195887&-0.932022&-0.227903&-0.405489&-0.157244&-0.091361&0.160497
53&0.193723&-0.972482&-0.102792&-0.350337&-0.117359&-0.076826&0.173997
54&0.186147&-1.005420&0.197223&-0.398079&-0.162660&-0.079593&0.192382
55&0.203463&-1.010286&0.212858&-0.290580&-0.122167&-0.014233&0.200461
56&0.221861&-0.963839&0.037587&-0.138161&-0.102133&0.041287&0.231781
57&0.226190&-0.937913&-0.047925&-0.156044&-0.092844&0.022074&0.217748
58&0.208874&-0.972042&0.234146&-0.135991&-0.076524&0.048115&0.171912
59&0.215368&-0.960777&0.017602&0.007784&-0.054474&0.102566&0.190158
